-0.000563357883597589+0.000617307163066835i,-0.000252276358828662-0.000197791092503024i,5.52881690264054e-05-0.000203634555034114i,-0.00031970440494816+0.000164210211010893i,0.000271676187289944+7.33520405424749e-05i,-0.000579143639239908-8.04041447193824e-06i,-0.000184198371791382-0.000246411759281694i,0.000385583201275727+0.000277170643677825i,-0.00023134904289998-0.000496252203071315i,0.000680537871039696-0.000763679474846898i,0.000516646265793731+0.000166247107342064i,0.00100227483323744+0.000805787655907124i,-0.000579981237652404+8.41311226388593e-05i,-0.000739753376943609+0.000461167947644114i,-0.000384741515374172-0.000427694091244321i,-0.00074495336669855-0.000317519322615339i,-0.000437557080741953-0.000614631754707489i,0.000623159804452811+0.000424874741006406i,-0.000303912213738186+0.00122665802318256i,-0.000269416470701598+0.000303991404363625i,-0.000205975865528297-0.00070112322614839i,5.6409833275649e-05+0.000319897687285357i,0.000356818850117552+0.000308472212996754i,-0.000360461144331228-8.98416573380772e-05i,0.000507879683249685-0.000349431376611108i,0.000266705844883548-0.000292783755591218i,3.51517685428093e-05-0.000278181249940465i,-0.000314801047807809+0.000615317000180667i,0.000593836538174157+0.000564037248984328i,2.04119308469376e-05+0.000576854668505654i,0.000632448613402413-0.000264640966791841i,-0.00020955219738236+0.00033549281374792i,0.000354268858624443+0.000253719395176295i,0.00026593928069295+0.000617295291928412i,8.29145016737067e-06+0.000115654332530288i,-0.000224616424128527-0.00123129820765172i,0.000883083570906378+0.000586822657706625i,0.000379260490058346-0.00117393871810494i,-0.000203835975751381-6.74142098724051e-06i,-0.000107093652041421+0.000236164842430793i,-0.000677832424299042-0.000105909999337298i,-4.85261666654669e-05+0.000953650241071951i,0.000699750168962663-0.00114435824873148i,-3.73359480932158e-05+0.00011778788834498i,-0.000602742078727134-0.000395129467150025i,5.04923723350056e-06+0.00090551426802203i,0.00141808126892328+0.000652774159976905i,0.000615997869240771-0.00101662299653746i,-0.000746913687311295-0.00103529558014408i,-0.000720651558489749+0.000361414535871068i,0.000185430543652416+0.000125072294747682i
-0.000733908274426792-0.00125518796999221i,0.000256622728654296-0.000598560976615989i,0.00048790095414601+2.59069901266976e-05i,-0.000426462847408384+0.000698637744237656i,-0.000261511608531263-0.000412646332338367i,-0.000655076461650797-0.000264877685515747i,-0.0008857842547115+0.00157119650037552i,-0.000234558596610862-0.000926424592640951i,0.000703637028331155-0.000826477330628161i,-8.85102060804235e-06+0.000731197313669719i,5.83036487619731e-05+0.00159352283944726i,-0.000362349935719956+9.98986649115906e-05i,-0.00163276903704513-0.000405432418366381i,0.000224248409018945-0.00105981353090254i,0.00078320735939338-0.000362554745964318i,0.000527942823963158-0.00075793613012424i,0.000649173491901985-0.00019481000016698i,-0.000174755439009237+0.000769205007293436i,-0.000976634340205991+0.00106397026233161i,0.000347473471533209+9.3512058013366e-05i,6.67536396501586e-05-0.000374811152916809i,0.000631655615628645-0.000397023045436859i,-0.000840974695222321+0.000148102280148746i,-0.000564297608770951+0.000929425722479432i,0.00026473479753362+0.000488216399965647i,-0.000500191343353887-0.000416978483861173i,-0.000412837792711692+0.000147140452950184i,-0.00149467715209314-0.000505278874919099i,0.00049405651519465+0.000174791183946985i,-1.60994916139915e-05-3.28493080273808e-05i,-0.00117219293016832-0.000479990488870925i,-0.000535641020490938-0.000852578746202723i,0.000589652781669356+0.000283194476903964i,-0.000138884081136621+0.000856086555578598i,0.000357172737829676+0.00136483305120443i,0.00023989651779445-0.000866997304642568i,-0.00048442868804349+8.22105738984739e-05i,0.00028751007026198+0.000224731871342378i,-5.59124575352076e-05+0.000545515686703652i,0.000397701647778152+5.7480730964152e-05i,-0.000845538622735099-0.000235410121052149i,-0.00112282575540315-0.000326887357181603i,-4.12218654384494e-05+0.000850977914807259i,0.000620033400108612+0.000521961364896617i,-0.000250140872260162-0.00114271463200738i,-0.00094325994082309-6.84494672279954e-05i,-2.67812439999866e-05+0.00155331614801485i,0.00177094633584177+0.000513009785561669i,0.000343188098818045-0.00134790578574586i,8.2049207427399e-05+0.000452959596376977i,0.000124066559820383+0.000372740175531055i
-0.000466686191575335-0.000235622347094598i,0.000443657353182174+0.000402425243224062i,0.000706209228362267+0.000545847083039661i,1.57833369944785e-06-6.61263882729312e-05i,1.75087247590888e-05-0.000313113551090716i,0.000854635495073453+9.22820161296526e-05i,-0.000167960685365646+0.000388630678525372i,0.000138852327384352+0.000101198224776947i,0.000547581534569342+0.00012341369102342i,-0.000843328864734215+0.00187693267758769i,-0.00105430434347103+0.000341229316894831i,-0.00022381534500729-0.000853084499626275i,0.000864798373772301-0.000686988934488625i,0.0004151084328653-0.000416192500903518i,0.000193474765744454+0.000364673412980117i,-0.000606279770422399+0.00023353525284865i,-0.000255210651542811-0.000923165578454481i,5.87305855065482e-05+9.31320885044494e-05i,0.000679941101350327-1.27791041057171e-05i,0.00038734579317878+0.000144630565094022i,0.000486804450513018+0.000436027238327331i,3.89798053692457e-05+0.000537623481309206i,-0.000542333184293398+0.000151953067397909i,-0.00102719865708228-0.000934643384246267i,-0.000542516046592511+3.2647489377574e-05i,-0.000483135200225542-0.000463710979508603i,-0.000477132046747815+3.8829411508949e-05i,-8.70315361425738e-05-3.47365765430838e-05i,0.000371428777614182-0.000318799858180934i,-0.000272214119597224-0.000638318433893274i,-0.000347880044472367-0.000106939929750559i,-2.2123036569419e-05-9.91205386229655e-05i,-0.000384035756131589+0.000188182730007653i,-0.000938877302964338+0.000277921300831174i,0.000100098110357506-0.000436888362944147i,0.000533605883866649+0.000317956355602476i,-0.000140434166662259+0.000138104525784779i,-0.000286630035781207+0.000472850481194535i,-0.000297433556314687+0.00084167879183328i,0.000179844185592141+0.000667880747432019i,0.00122634425709966-0.000306507922950252i,3.72946707349541e-05-0.00125588440270281i,-0.000665621214855995-3.16078465663016e-05i,0.000302997010983115+0.000506213313394202i,-0.000515358724219598+0.00073446903324971i,-0.000363419272472887+0.000169414066713022i,-0.000779654271165391-5.52010153037527e-05i,3.61149928072496e-05-0.000112723190741993i,0.000675686345482163+0.000680261512016251i,0.000375625332105307-0.000280718394196597i,3.82227376601447e-05-0.000445320518667213i
0.000236071282438471+0.000147452512490213i,-0.000674212441249714+0.000361782824852618i,-0.000836713723233262-0.000252362760343613i,0.000259540267774642-0.00084729515606103i,0.000397256700961544-5.73255611868219e-05i,0.000325633364477008+0.000708086158940625i,-0.000496334140173014+3.69414365692575e-05i,0.000867025096408865+0.000522240418604864i,-0.00061029329553708+0.000683026933336087i,-0.0014413478588368+0.000312960498379831i,-0.000713595833858884-0.000258792952856326i,0.0011280170154004-4.41675251683065e-06i,0.00067582105002011+0.0010909372205634i,-0.00132075934036793+0.0012632950217102i,-0.00128656972371963-0.000612246807832143i,-0.000655702385199395-0.000305987476759208i,0.000509350072575435+0.000263624218626692i,-5.60041398823049e-05+0.000642782857178781i,-0.000517672580588983+9.83977375593342e-05i,-0.000460916308431635+0.000851282851765997i,1.14294855399166e-06-0.000949312215142214i,-0.00068936865716205+0.000222117494614062i,0.000280489287331814-0.000966580990030542i,-3.61849595898689e-05+0.000257818958750042i,0.000450998053986301+0.000591612242898443i,-9.40794117198288e-05+0.00016794340984402i,0.00018990705306433-0.000602910276619059i,-0.000621069828488701-0.000223691416115274i,-8.03706774916876e-05+0.000753250302980649i,-0.000320351718977497+0.000731646192639395i,-0.000428786960738247+0.000690678882024395i,-0.000548004601541083+0.000467766455831552i,0.000761997207138656-0.000497231976137354i,-0.000586960011864694-0.00104465045869459i,-0.000879030009531368-0.00070790325454594i,-1.8627493453075e-07+0.000788623922737183i,0.000371536452631723+0.00038622520954434i,0.000227869449177044-0.000545116393862576i,-0.000548465352956799-0.000558840077691187i,-0.000393433186782132+0.000369836252855886i,0.000186970423934091+0.000741847481141447i,0.000617116211963125+0.00021974371323241i,-5.49541300933693e-05-0.000433085833600091i,-0.000719643132805232+0.000139014280570114i,0.000511614037533863+0.000912071615613396i,0.000728483003197813-0.000341392783639745i,-0.00011825800398373+0.000333006643720087i,-0.00127399887753146-0.00022589432838277i,-0.00043605997156827+0.000169550217768239i,-0.000811692246750867+0.000875734872618446i,-0.000530234527270529+3.19352575363517e-05i
-0.000670063414591686+0.000932655217776651i,-0.000652219497900098+0.00066269657605615i,-0.000229744814524707-0.000582941698944815i,-0.000200444444631247-7.37281876919987e-05i,0.000685309265307415+0.000628394342541675i,-7.45766945481303e-05+1.12719183567711e-05i,-1.57287792815406e-06-0.000369598316697438i,-0.00159952536203485+0.000481063549219879i,6.86982817375605e-05-5.34605117617767e-06i,0.000479700934728546-0.000308929106146534i,0.000408320641465708-0.000105148796389772i,0.000276470071808347+0.00104448106110574i,-0.00213956499327055-0.000736266106931349i,-0.00151019868074239-0.00162665377260856i,0.000502961984644788-0.00133441047932635i,0.000678920745593483-0.000125649438691924i,-0.000564183198472547+0.00067458685720059i,-0.0010846274310106+0.0012783409270177i,-0.000924168471261285+0.000584675197342958i,-0.000805860348014591-0.000304728236395414i,0.000111111788776383+8.92738349156483e-05i,0.000212799246160296-0.00158698168593914i,0.000599261745625521+0.000335614378293404i,0.000269642799534032+8.4252666610246e-05i,0.000295862894524614+0.000892286050418574i,0.00104207950769057+0.00122194918126403i,0.000650793461191772-4.77223465222612e-05i,0.000527125089368821-0.000757851559183623i,-0.000411556998669907-0.000111732416728935i,0.000926059516243857-4.04714410097496e-06i,-0.000960476983142444-0.000430470069001091i,-0.000827262656047209-0.000125522817569644i,4.48247661330996e-05+0.000950323240397834i,0.000206745449553133-0.000535677337913685i,9.32043945222732e-06-1.87266614508363e-06i,-0.000280332069367598-0.00117961107508417i,-0.00102468392414709+0.000556991841684723i,-3.71873167762896e-05+0.000372735506876058i,9.97937292709233e-05-0.00032484683415502i,-0.000271159320363931+0.000279245162286175i,-0.00152915160305793-0.000128804071564401i,-0.000868583640258362+0.000355866808572684i,0.000723209555969314+0.000425215917921093i,0.000677261069162633-0.000286077216619806i,0.000135411435584082+0.000423108256768095i,0.000322883231323493+0.000772592717730683i,0.000569807524049602-0.000186109980517201i,0.000795200264634808-0.00109208200524387i,0.000446823376436893-3.24032621557887e-05i,-0.000192648284148545+0.00108737435323369i,-0.00016112354895544-5.25197171771471e-05i
-0.00182615405611002-0.000802548086370783i,0.000494725090642415-0.00123411840002629i,0.00175045144186089+0.00027318492099408i,-0.000456815185408106+0.000799001776583119i,-0.000602126464263875-0.00108876356885446i,0.000443923514841165-0.000959952424515078i,0.000211066733711874+0.00105476959050639i,-0.000291500117391602+0.000481099629028025i,-0.000242744049476535+7.73392060695666e-05i,0.00105027319007235-0.000606536823408324i,-4.11740609796733e-05+0.000672695946560773i,-0.00223183954579902+0.000761284110203098i,0.000584917201155165-0.000497947545297196i,0.00218432055002073-0.000298130860590685i,0.00111785751101503+0.000513308155260923i,-0.00068406955570972+0.00138845668985721i,-0.000698523301105988-0.000699951865729002i,0.000612101316268119-0.00134304023790311i,0.0008191649507132-0.000233557508035091i,0.00028807461610904+0.00107294360352342i,-0.000111647129648362+0.000966909119831295i,-0.0010146592909599+0.000767819086065038i,-0.000653642889488788-0.000128910002463143i,0.000140156452336182+0.000788159870557781i,-0.000761799167717537+7.79836365595689e-05i,0.000239773782335243+0.000151979612953594i,0.000260200954789586+0.000411170289632515i,0.000820796004349157-0.000104004484713094i,-0.000258370131172276+0.000474005244889905i,0.000468617954140836-0.000354450997321286i,-0.000242345748061885+0.000118233346524474i,0.0006005773394899-0.000527392750049592i,-0.000515567484017544-0.00124515551074314i,-0.000639754161985439+0.00030445844496471i,0.000953582881660787-5.79288506399905e-05i,0.000390154079452672-0.000318409310024043i,-0.00034623551495148+7.54577009856465e-05i,-0.00135936154577529+0.000513240087333356i,4.15391704081266e-06+0.00157290977660029i,0.000495189635475179+0.00128171740522854i,0.000366989792178747-0.000933213737905187i,-0.00109889919351214-3.14796163099747e-05i,-9.87150235175255e-05+0.000622163053327121i,-0.000532424253546593+0.000867393350805243i,-1.77032656395432e-05-0.000460344366643388i,9.39986311453498e-05-0.000349718987483802i,-0.00031501885547091+0.00111334251065835i,0.000523527356592158-0.000109991762206901i,-1.97688134315926e-05+0.000318284442936653i,-0.000852697912542555+0.00120179973403236i,-0.00115041820270655+0.000134073969058736i
0.000798836718974871-0.00100126389647937i,0.00129145927705388+0.000303424084481131i,0.000942638987713279+0.00154745235142867i,-0.000589603372403925+0.000409334085896055i,0.00141771815760276-0.00123331224441559i,0.000759461419648664-0.000670077693638298i,1.02411659758554e-05+0.00131369146933297i,-0.000356527212053869+0.000123415049120251i,-0.000470435882331238+3.97582559241751e-05i,0.000400057941509243+0.0004835127851795i,-0.000923168144585718+0.00094102609783631i,-0.000304646019195387-0.000479498062857486i,0.000738509546131134-0.000285887402086907i,0.0006734512719748+0.000818535630107828i,0.000195458871022758+0.000156122316925246i,-0.0013600544681444-0.00079567742382982i,0.000594063146109803-0.00234091192812478i,0.00111932078291255-0.000308108001445332i,0.00163335671945894+0.000613409447712109i,0.000242684000571425+0.000698950139304264i,-0.00139605501663524-0.000110011407187735i,-0.000297002206855962-0.000572674288078033i,-0.000225464914700771-0.000893291035000715i,0.000672438472997452-0.000325758166380159i,0.000825274842207014-0.000879430261621467i,-0.0005625748425018-0.00128087202623715i,-0.000309800351634307-0.000870248223707964i,9.84439515465171e-05-0.000302028674055978i,-0.000880939688270475+0.000120181544315492i,-0.000266797053556443-0.000880427913842237i,-0.000415734149077398-0.000401824489310032i,0.000187315079348797-9.27688655192072e-05i,-0.000728248182775697-7.25471629793941e-05i,-0.0017033487666661-0.000173171126344337i,-0.000235155551044099-0.000166449338188352i,0.000130065754100701+0.000953990217745997i,-5.12145693198674e-05-5.60522096395751e-05i,-0.000631230605355018-0.000391649641492463i,-0.000119934904711431-0.000180444613218908i,0.00034143915101699+0.00083650932090132i,0.000717068452799406+0.000689401413835824i,0.000356301452930407-0.000369293013183922i,0.000646505753624441-0.000213946478330886i,-0.00069822227187482+0.000415362828868636i,-8.50926248739464e-05+0.00045469676144461i,0.000109676633598183+0.000477121335688482i,-0.00119047933752342+8.11886448766939e-05i,3.08958979976732e-05+0.000377149849440118i,0.000298725041121973+0.000498506067933991i,-0.000736854845477877-0.000847705665671614i,-0.00080636909960869+0.00018805681923493i
0.00101714117788745+0.000901950020863459i,-0.000654505380594863+0.00181340276905055i,-0.00130589459572586+0.000496351779501122i,0.00100520419090328-0.000855409755833114i,0.00113987939255489+0.000779946834280699i,8.69739223540817e-05+0.001515717299091i,-6.8342954390441e-05+7.3339802549983e-05i,0.0013557547946865-0.000690976414712941i,0.000663981575916478-0.000474627479907385i,1.53778256114643e-05+0.000964472073401062i,0.000509095595964931-0.000392262171927856i,-0.000678031214320957-0.00010889756948891i,-0.000170183753159157+0.000390450763494495i,-0.00139546755406797+0.00103131245989496i,-5.58735298684553e-05-0.000515950047073899i,-0.000315960275874752-0.0014587782043855i,0.00148901970710699+0.000654199022011456i,0.000312130536664489+0.000791762784534477i,-0.000442004943164776+0.000904474987581649i,-0.000717733826016634-0.00126356209758918i,0.00121952364999381-0.00148515712654431i,0.000345252338907184-0.000617191712498466i,0.000558596206953201+0.000921963384585692i,0.000118162627281708+0.000404171449686905i,0.000614016154618939+0.00079731066749826i,0.0012138981705306-0.000242346242656093i,0.000662303265702952-0.00074440582314415i,0.000364631367932608-0.000279602013181948i,0.000876674513090398-0.000225170946050891i,0.00016249243086671-0.000765416613395649i,-0.000122506865167907-0.00145427059708382i,-0.000537384675506476-0.000764482613350392i,-2.29127135929338e-05-3.69888563778913e-06i,-0.000306636361206529-0.000487461863467917i,-0.00142251512552657-0.00101146370796847i,-0.0011855423981174-4.27229689432768e-05i,7.71112882363192e-05-0.000225321640412322i,0.00118825449346019-0.000498941865033413i,8.17390373553863e-06-0.000144397702755967i,-0.000587613881763587-0.000477819664928066i,-0.00161029734849785+4.90186050947883e-05i,0.000951180940215593+0.000337369433648428i,0.000697070341297945-0.000514371973358273i,8.91716732911467e-05-0.00205067455528579i,-0.000684280092170849-0.00138707042722896i,0.000169107587198074+0.00118502441688746i,-0.000475381653550526-0.000270188476952522i,-0.000731024479127932-0.000125108577758897i,-0.000676069769217518+0.000865241441615308i,0.000101636083126022-6.16329682706218e-05i,0.000116204941966503-0.000456428533360573i
-0.000155086052000859+0.00234675887079542i,-0.000936677783398049+0.000666397946161154i,-0.000692084761563575-0.000477452527258113i,0.000852105276705216-5.57286735972408e-05i,0.00054375044711792+0.00198150654946887i,-0.000446292041908261+0.00139811418111637i,0.000119731495117989-0.000190540897036619i,0.00158793020166593+0.000501801500982988i,0.000106293963418293+0.000751621028550145i,0.000239838136390237+0.000712141635190644i,0.000796728930573034-0.000169452932108423i,0.000423483833650315+0.00063070025348218i,0.000460890885482228+0.000872017216950967i,-7.8870714117377e-05-0.000889225592394974i,-0.000311913785730562+0.000756500370679731i,0.000290692004481291+0.000225009575839065i,-0.000570555775818819+0.000919260811994817i,-0.000219257897146543-0.000272893519212183i,0.000257577739591397-0.00127100451998701i,0.00111268755101872-0.000505213196429202i,0.00215092802924758+0.00112117932696766i,0.000746437034114385+0.00110411169001243i,-0.0012335009770165+0.00112903512135735i,-0.000940955295731198+0.000850939843826838i,-0.000450059543526299+0.000322836676758853i,-0.000948181543683108-0.000246848128695i,-0.000612367860134588-0.000124056239431995i,0.000235246274967185-0.000187532268466948i,0.00103177163753397+0.00018570552975596i,0.000400133392604054-0.000747558066037665i,0.00134740855759312-0.000710317962152203i,0.000619142380796468+4.09392522091505e-05i,-0.000556715201882703+7.92224685525133e-05i,0.000600517715790166+0.000622606969823937i,0.000854136092191293-0.0005452687421989i,-0.000426847417664527-0.00190643184557483i,-0.00136337195542889-0.000283729770820178i,-0.000132011641614727+0.000608201286276763i,0.000219867828546484-0.000266913297444964i,0.000266149667034799-0.000415283799742579i,-0.000781026361877221-0.000640912930777497i,-0.000159709164582272+0.000558591871594264i,0.000699678465229404+0.000686572217432842i,0.000802189496518459-0.000857811793672269i,0.000227756702435604-0.000848033131581371i,-0.000705286564982734+0.000846472434358016i,-0.000503504133242961-0.000404569110582453i,-0.000735452778468763-0.000153698408749169i,-0.00040751400389999+0.000846305095302521i,0.00180264483918918+0.000508442567475688i,0.000206208227141602+0.000209030627141249i
-0.00126053357782415+0.000681647799671151i,-0.000118258192129679-0.0007132391862707i,0.000595433018994018-0.000413491364326675i,0.000404647923139861+0.00157944544315703i,-0.00060618571868638-0.000120953644504455i,-0.00112588707439952-0.000724420923266283i,0.000213879217535652-0.000329622382636696i,-5.16534916055053e-05+0.000784460574230704i,-0.000692891654678072-0.000961082650712609i,0.00032420646079178-0.00059815566623668i,-7.13099315877436e-05+0.000438889431310636i,-0.000407853987010486-0.000168893843131287i,-0.000722854976073076-0.000244791550479906i,-0.000486357686685773+0.00136556185779853i,-0.0014206157863401-4.06704413213898e-06i,-0.00106063303487505-0.00110325124293294i,-0.000805530267561596-0.000496823676808784i,0.000800388274330931-0.00109790898386463i,0.000694730195585342+0.000292222788628615i,0.00072370403479995+0.000123676711523872i,-0.00134954455321724+0.00037971484718001i,-0.000958549759609013-0.000457071505677651i,-0.000120037965739383-0.00154177164862272i,0.000653765024562476-0.000916111677055908i,0.000515171324918579-0.00117795212686181i,0.00102482402766293+0.000521336864437308i,0.000389732005525191-0.00044626287315334i,0.000320951523741136+0.000290022555735427i,-0.000589001803342539-0.000627754889322535i,0.000418379586979771+0.000770837237606425i,-0.000344051228887011-3.82717475975353e-05i,-0.00186398644858893-0.000618977514379994i,-0.000895591552152203-0.000162827308963266i,-1.81840549632826e-05+0.00020622531919677i,0.000694865986194336+0.0004699857693667i,0.000734961990046022-0.000562714504347018i,0.000393493797721397+0.000620531353168877i,-0.000278276434175809-0.0017040726895382i,-0.00126989225634069+0.00073954941503909i,3.12129706711015e-05-9.46003487881153e-05i,0.0020868836218409+0.000923615896220851i,-2.96662919515851e-05-0.000347330068485454i,-0.000448358046952551+0.00074793597231118i,-7.99877404401095e-05+0.00156262222733728i,-0.000327063006436974+5.90391964565592e-05i,1.72292519821358e-05-7.29558648754272e-05i,0.000303112508037195+7.74180317378516e-05i,3.81286281923879e-05-0.00105049863521161i,0.000126131416586688+9.9615553962996e-05i,0.000267396538743975+0.000125485563594273i,0.000335784100032238-0.000165810995989755i
-0.000493415325601361+0.000332392843778911i,0.000565156797555125-0.000326277023557224i,0.000710894734455886+0.000827912344580352i,-0.000134584955664547+0.00162592157290465i,-0.000437762952406216+0.000171614621521977i,0.000146942139934993-0.00071442057210555i,5.65415359808429e-07+0.000929171325558776i,-0.000500343666905765+0.000366597120762408i,0.000311042456099168-3.2383387268006e-05i,-0.000140036322783272+0.00132937861330103i,-0.00136503228685147+0.000491899606740563i,0.000569791687046307-0.000948098556925377i,0.000575029919907731-0.00041067282162528i,-0.00128654026802196+0.000573020021430799i,-0.00184480137349079-0.000339507100324085i,-0.000434774382735319-0.00192387672827384i,0.000898359258133206-0.000294409336581124i,0.00026632734592656+0.000454739678664984i,0.000119601391125927+0.00139447755021306i,-0.00106580814922823-0.000502879891961064i,-0.000158723651508016-0.000412366845721481i,0.000649808166061171-0.000264549483612252i,0.00206178047467704+5.5069011309787e-05i,0.00195000473351537-0.000108850850490867i,0.00179274801628498+0.00125476492030506i,0.000899749970243743+0.000215788169760718i,0.000700338605192712+0.000212784957110269i,0.00074749360600385+0.000475740572482511i,-0.000875315250179525+0.00120780188997948i,0.000388153290819002+0.000392471272756669i,0.000240810148958287+0.000577496119617357i,-4.63818427450465e-05-0.000445298293800356i,-0.000319065139226249+6.43895944670537e-05i,-0.000423591536735802-0.000483378857573314i,-0.000221844307839008+0.000606356236259942i,-2.62686742572278e-05+0.00116866420814958i,0.00110256397738362+0.00121200259159612i,0.00107720622156474+0.000203865380106422i,-0.0006981772755487-0.000166823457580037i,-0.000988645146629832-8.77389104153691e-05i,0.000994834468122109+0.00148938781983117i,5.50614593545413e-05-0.000148473002271628i,-0.000596468381035543+0.000989256981433352i,-0.00051156430589899+0.000390292316868353i,-0.000339277886795007+0.000166016136272202i,-0.000475958099011917-0.000642919804072315i,-0.000172105699993495+0.000571168967940806i,0.000380503753789667-0.00116714311322239i,-0.000588044980936145+0.000103372579581505i,-0.00108858670182165+0.000279897569158066i,-1.24748188067806e-05+5.65654821711693e-05i
0.000485013698058194+0.00028798430150027i,0.00134367497848442-0.000419399631224692i,0.000659806075477957+0.000929603973593635i,-0.00128696252987364-0.000196341674207367i,-0.00052687862424729-0.000973282945870449i,0.000942235541841239+0.000180775684354357i,0.000572074165373324+0.00149170209003499i,-0.000214134893755601-0.000804802268858649i,0.000882698134960722+0.000896804675882007i,-0.0017768324597539+0.000324617121081762i,-0.00154421819001138-0.00110660616923016i,0.000750970213282588-0.00055103836884053i,0.000282338630772688-2.62336634410215e-05i,4.96002688302232e-05-0.00167845016835272i,0.000778715416320642-0.00153895395952604i,0.00124804167536084-0.000664341241033334i,0.000930810471805294+0.000276900737693431i,-0.000754000916667594-0.000384247789842953i,-0.000387857628610336-0.001284864109894i,0.000470875599763446-0.001073425075346i,0.00118395764834753+0.000315772631816378i,0.00155063681556481+0.00108135422472192i,-0.000373740285771967+0.00157090256346444i,0.000151821442106189+0.00104074241798853i,-0.00104578790943611+0.000939806259136611i,-0.00142297744546484+0.000398329624809119i,-0.000805690036519321+0.000951775526701401i,-0.000276741744892126+0.000356594845854597i,-0.000223052993499179+0.000211193702160339i,2.56379602604157e-05-2.15110889795447e-05i,-0.000547237162973634+0.000630944919088784i,0.000549972724487039+0.0004256853557889i,0.00204699504294824+0.000585618995085198i,0.00104066465127821+0.000314925676172346i,0.00035482490240435-0.000273373003383726i,-0.000368894837907334-0.00100126429463474i,-0.0016655647152959+0.000560033617686768i,-0.000184256842780228+0.000563343474827355i,0.00042814346556298+0.000432575409741971i,-0.00113115650367192-0.000945525128479721i,-0.000857831604408693+0.00171783861651526i,0.00045793207107847+0.000335268350871666i,0.000354786799067072-0.00199648854398883i,-0.000263302375788049+0.000772976236428727i,0.000293457769612278+0.00084144120804223i,-0.000732896580481837-0.000609303389489114i,-0.000209804239378701+0.000689257293864754i,0.00188624736886253-0.000365908479715991i,-0.000119877125211526-0.00111358502832793i,-0.000436696959867253+4.61440429396008e-05i,-0.00018209687327017+0.000548885578761958i
-0.00098467077758967-8.1191698230872e-05i,0.000865741776265668+6.50542062937429e-05i,0.000295027582793331+0.00145417254161812i,-0.000844442365260229-0.000711969478411724i,0.000709212842245743-0.000240168915267745i,0.000564816338225753+0.00101178601128778i,-0.00100221033823506+0.00107606827657851i,-0.00101357429143905+0.000656712331084469i,-0.0004194533806429+0.00121801405484373i,-0.00126655394998907-0.00073438275444684i,0.000255958782882874-0.00142538712228607i,0.00113414826464464+0.000896539180701527i,-0.000115383370709907+0.00191646931254384i,0.000257164829566907-0.000593655818977946i,0.000821351233383234+0.000333841927288455i,-0.000574524893327522+0.000871682643183078i,0.000596286703441928-4.49402532125111e-05i,9.54673635466044e-05-0.000848604651984306i,0.00214824058039767-0.000819470587442095i,0.00102691579333779+0.00149331821333029i,-3.97474609635021e-05+0.00133226933972331i,-0.00147882043880406+0.000328419160753596i,-0.000899545685753181-0.00127910650782234i,-0.000199782361587085-0.00170590270599098i,0.000147214680406878-0.00160111091695119i,-0.000289191955398489-0.00129325840750737i,0.000183085836272864-0.000610510962545273i,0.00154445155803618+0.00015166128866337i,0.000507645109243265-0.000478939566553541i,0.000279781222362033-0.00168507827553028i,-0.00075905758967325-0.00150374546020618i,-0.000142637605754146-0.000549244712632426i,0.000197234536686519-0.000592270765238806i,-0.000439704880168786+0.000733727934221829i,0.000852426496133812+0.00151258034791267i,0.00147960057784658-0.00168995839716968i,-0.000192155537534877-0.00188150820132313i,-0.00124385621771702-0.000807385145851538i,0.00050103174295989+7.4954901036512e-05i,0.000953612680299203-0.000729246571947814i,-0.000698217446291195-3.81593683861407e-06i,-0.000233755896333684+0.00113378660404441i,3.21161728151153e-05-0.00032147185297351i,-0.000470618320493683+0.000238052426667614i,0.000551639077688555+0.0013766431799057i,0.000353467080952519-0.00120515924475967i,-0.000705770556757507-0.00061201512991977i,0.000123417406756474+0.000876934639837338i,0.000385243889500881-0.000336937427442886i,-0.000653359534031951-0.000489176939292989i,-0.00054806472114597+0.000853521192782659i
